1020003	SPM187914356
1020003	SPM187916068
1020003	SPM187913063
1020003	SPM187911166
1020003	SPM176669888
1020003	SPM187935613
1020003	SPM187911141
1020003	SPM176663239
1020003	SPM187931680
1020003	SPM187915808
1020003	SPM187935144
1020003	SPM173791875
1020003	SPM187911123
1020003	SPM176663469
1020003	SPM187915271
1020003	SPM187942472
1020003	SPM187938011
1020003	SPM187911137
1020003	SPM176672778
1020003	SPM187927441
1020003	SPM187911143
1020003	SPM187911091
1020003	SPM173791513
1020003	SPM176670900
1020003	SPM187911981
1020003	SPM187920764
1020003	SPM187932878
1020003	SPM187925721
1020003	SPM187937759
1020003	SPM187911168
1020003	SPM187912243
1020003	SPM173791924
1020003	SPM176692030
1020003	SPM176678124
1020003	SPM187919575
1020003	SPM173798142
1020003	SPM187911164
1020003	SPM173791540
1020003	SPM187912410
1020003	SPM187911108
1020003	SPM187912190
1020003	SPM187912997
1020003	SPM176667547
1020003	SPM187911115
1020003	SPM173791499
1020003	SPM187937292
1020003	SPM187911139
1020003	SPM187921332
1020003	SPM187911094
1020003	SPM187911125
1020003	SPM8684302711
1020003	SPM11226400419
1020003	00836907000P
1020003	00836966000P
1020003	SPM8791170902
1020003	00836962000P
1020003	00837894000P
1020003	00836980000P
1020003	00836969000P
1020003	SPM2909343101
1020003	00837013000P
1020003	SPM7700185503
1020003	00836936000P
1020003	SPM11225863419
1020003	00942739000P
1020003	00837892000P
1020003	SPM11690184716
1020003	SPM187835206
1020003	SPM11952890116
1020003	SPM7612920628
1020003	SPM2829132001
1020003	SPM3731726521
1020003	SPM5705050003
1020003	SPM10928916215
1020003	SPM3732089521
1020003	SPM11619067715
1020003	SPM3732016421
1020003	SPM11793382919
1020003	SPM8495412611
1020003	SPM8791170502
1020003	SPM10969235915
1020003	SPM3731733221
1020003	SPM7560804403
1020003	SPM8791174602
1020003	00836905000P
1020003	00836956000P
1020003	00836968000P
1020003	00837021000P
1020003	00837002000P
1020003	00836909000P
1020003	SPM3732811921
1020003	SPM3732228421
1020003	SPM11226395219
1020003	SPM11552608419
1020003	SPM8109345002
1020003	SPM8157710602
1020003	SPM5930148101
1020003	SPM3224023501
1020003	SPM5040016901
1020003	SPM8703299902
1020003	SPM7967980623
1020003	SPM9131034924
1020003	SPM10812004525
1020003	SPM10812010225
1020003	SPM8146004602
1020003	SPM7710547608
1020003	SPM11538458625
1020003	SPM6864045404
1020003	SPM7040988604
1020003	SPM7765142928
1020003	SPM7981456123
1020003	SPM10789664115
1020003	SPM9130782824
1020003	SPM3294023301
1020003	SPM8336559402
1020003	00868636000P
1020003	SPM7765153528
1020003	SPM7642996913
